103.230.226.59, , , , 0, None, India, 20.0, 77.0, Asia/Calcutta, AS
37.57.144.177, , , , 0, None, Ukraine, 50.45, 30.5233, , EU
45.64.159.107, Lucknow, , 36, 0, None, India, 26.85, 80.9167, Asia/Calcutta, AS
45.64.159.18, Lucknow, , 36, 0, None, India, 26.85, 80.9167, Asia/Calcutta, AS
46.238.89.52, , , , 0, None, Poland, 52.2333, 21.0167, Europe/Warsaw, EU
63.248.156.246, Morgan, 84050, UT, 801, Salt Lake City UT, United States, 41.0105, -111.6782, America/Denver, NA
64.111.36.52, Tarkio, 64491, MO, 660, Omaha NE, United States, 40.4518, -95.3419, America/Chicago, NA
64.111.42.64, Lewistown, 63452, MO, 573, Quincy IL, United States, 40.1165, -91.7447, America/Chicago, NA
65.33.236.173, Winter Haven, 33884, FL, 863, Tampa FL, United States, 27.9731, -81.6736, America/New_York, NA
66.171.106.73, Salmon Arm, V1E, BC, 0, None, Canada, 50.6998, -119.2691, America/Vancouver, NA
66.215.30.118, , , , 0, None, United States, 38.0, -97.0, , NA
67.221.147.66, Blue River, , BC, 0, None, Canada, 52.1, -119.3, America/Vancouver, NA
67.221.156.165, Kamloops, V2E, BC, 0, None, Canada, 50.6667, -120.3333, America/Vancouver, NA
67.206.96.68, Hollis, 73550, OK, 580, Oklahoma City OK, United States, 34.686, -99.8602, America/Chicago, NA
67.207.229.215, Altus, 73521, OK, 580, Wichita Falls TX, United States, 34.6182, -99.2732, America/Chicago, NA
67.22.167.163, Price, 84501, UT, 435, Salt Lake City UT, United States, 39.5751, -110.8024, America/Denver, NA
67.221.195.6, Columbia, 65203, MO, 573, Columbia-Jefferson City MO, United States, 38.8817, -92.402, America/Chicago, NA
67.222.197.54, Blair, 68008, NE, 402, Omaha NE, United States, 41.538, -96.1944, America/Chicago, NA
67.222.201.222, Blair, 68008, NE, 402, Omaha NE, United States, 41.538, -96.1944, America/Chicago, NA
67.222.201.61, Blair, 68008, NE, 402, Omaha NE, United States, 41.538, -96.1944, America/Chicago, NA
68.119.5.32, Kennewick, 99338, WA, 509, Seattle-Tacoma WA, United States, 46.1669, -119.2541, America/Los_Angeles, NA
68.55.59.145, Towson, 21286, MD, 410, Baltimore MD, United States, 39.4157, -76.5718, America/New_York, NA
68.70.242.203, Alpharetta, 30022, GA, 770, Atlanta GA, United States, 34.0204, -84.2445, America/New_York, NA
69.144.171.44, Livingston, 59047, MT, 406, Billings MT, United States, 45.7068, -110.5392, America/Denver, NA
69.163.81.211, Bozeman, 59718, MT, 406, Butte-Bozeman MT, United States, 45.6511, -111.1777, America/Denver, NA
69.8.50.85, Duke, 73532, OK, 580, Wichita Falls TX, United States, 34.6449, -99.5973, America/Chicago, NA
69.9.204.114, Rapid City, 57701, SD, 605, Rapid City SD, United States, 44.1209, -103.1978, America/Chicago, NA
72.171.9.146, , , , 0, None, United States, 38.0, -97.0, , NA
72.174.240.148, Helena, 59601, MT, 406, Helena MT, United States, 46.5172, -112.1211, America/Denver, NA
72.175.10.116, , , , 0, None, United States, 38.0, -97.0, , NA
72.230.82.80, Manlius, 13104, NY, 315, Syracuse NY, United States, 42.9624, -75.9603, America/New_York, NA
76.84.81.120, Lincoln, 68510, NE, 402, Lincoln-Hastings NE, United States, 40.8057, -96.6444, America/Chicago, NA
77.48.30.156, Ceska, 664 31, 78, 0, None, Czech Republic, 49.2814, 16.5648, Europe/Prague, EU
78.108.101.67, Jalubi, 687 05, 90, 0, None, Czech Republic, 49.1154, 17.4277, Europe/Prague, EU
78.72.233.105, Mora, 792 01, 10, 0, None, Sweden, 61.0, 14.55, Europe/Stockholm, EU
79.187.34.150, , , , 0, None, Poland, 52.2333, 21.0167, Europe/Warsaw, EU
79.187.241.107, Kraków, 30-523, 77, 0, None, Poland, 50.0833, 19.9167, Europe/Warsaw, EU
79.188.45.226, , , , 0, None, Poland, 52.2333, 21.0167, Europe/Warsaw, EU
80.48.160.146, , , , 0, None, Poland, 52.2333, 21.0167, Europe/Warsaw, EU
80.51.120.214, , , , 0, None, Poland, 52.2333, 21.0167, Europe/Warsaw, EU
81.90.175.7, , , , 0, None, Czech Republic, 50.0833, 14.4167, Europe/Prague, EU
81.93.205.218, , , , 0, None, Hungary, 47.4925, 19.0514, Europe/Budapest, EU
81.93.205.251, , , , 0, None, Hungary, 47.4925, 19.0514, Europe/Budapest, EU
82.115.76.211, Polska, , 73, 0, None, Poland, 52.5931, 19.0894, Europe/Warsaw, EU
82.160.64.45, , , , 0, None, Poland, 52.2333, 21.0167, Europe/Warsaw, EU
84.246.161.47, Prague, 16100, 52, 0, None, Czech Republic, 50.0833, 14.4667, Europe/Prague, EU
85.135.104.170, , , , 0, None, Czech Republic, 50.0833, 14.4167, Europe/Prague, EU
87.249.142.189, , , , 0, None, Czech Republic, 50.0833, 14.4167, Europe/Prague, EU
89.174.116.76, Myszków, 42-300, 83, 0, None, Poland, 50.5833, 19.35, Europe/Warsaw, EU
91.235.162.167, Szydlowiec, 26-500, 78, 0, None, Poland, 51.2249, 20.8586, Europe/Warsaw, EU
94.141.130.9, Bydgoszcz, 85-001, 73, 0, None, Poland, 53.1271, 18.02, Europe/Warsaw, EU
94.154.107.172, , , , 0, None, Serbia, 44.0, 21.0, Europe/Belgrade, EU
95.143.141.50, , , , 0, None, Czech Republic, 50.0833, 14.4167, Europe/Prague, EU
98.102.44.38, , , , 0, None, United States, 38.0, -97.0, , NA
98.181.17.39, Baton Rouge, 70809, LA, 225, Baton Rouge LA, United States, 30.3838, -91.0598, America/Chicago, NA
98.209.75.164, Grand Rapids, 49509, MI, 616, Grand Rapids MI, United States, 42.8988, -85.7059, America/New_York, NA
98.214.11.253, Freeport, 61032, IL, 815, Rockford IL, United States, 42.3238, -89.6218, America/Chicago, NA
